ID:9936 SKID:BK1+110.5  timeStamp:2025-03-28 08:09:20:602
ID:9936 SKID:BK1+112  timeStamp:2025-03-28 08:09:20:751
ID:9936 SKID:BK1+113.5  timeStamp:2025-03-28 08:09:20:905
ID:9936 SKID:BK1+114.5  timeStamp:2025-03-28 08:09:21:61
ID:9936 SKID:BK1+116  timeStamp:2025-03-28 08:09:21:216
ID:9936 SKID:BK1+117  timeStamp:2025-03-28 08:09:21:367
ID:9936 SKID:BK1+118.5  timeStamp:2025-03-28 08:09:21:519
ID:9936 SKID:BK1+119.5  timeStamp:2025-03-28 08:09:21:670
ID:9936 SKID:BK1+121  timeStamp:2025-03-28 08:09:21:816
ID:9936 SKID:BK1+122.5  timeStamp:2025-03-28 08:09:21:972
ID:9936 SKID:BK1+123.5  timeStamp:2025-03-28 08:09:22:120
ID:9936 SKID:BK1+125  timeStamp:2025-03-28 08:09:22:273
ID:9936 SKID:BK1+126  timeStamp:2025-03-28 08:09:22:434
ID:9936 SKID:BK1+127.5  timeStamp:2025-03-28 08:09:22:588
ID:9936 SKID:BK1+128.5  timeStamp:2025-03-28 08:09:22:990
ID:9936 SKID:BK1+130  timeStamp:2025-03-28 08:09:23:238
ID:9936 SKID:BK1+131.5  timeStamp:2025-03-28 08:09:23:398
ID:9936 SKID:BK1+132.5  timeStamp:2025-03-28 08:09:23:556
ID:9936 SKID:BK1+133.5  timeStamp:2025-03-28 08:09:23:716
ID:9936 SKID:BK1+135  timeStamp:2025-03-28 08:09:23:875
ID:9936 SKID:BK1+136.5  timeStamp:2025-03-28 08:09:24:39
ID:9936 SKID:BK1+138  timeStamp:2025-03-28 08:09:24:197
ID:9936 SKID:BK1+139  timeStamp:2025-03-28 08:09:24:352
ID:9936 SKID:BK1+140  timeStamp:2025-03-28 08:09:24:509
ID:9936 SKID:BK1+141.5  timeStamp:2025-03-28 08:09:24:677
ID:9936 SKID:BK1+142.5  timeStamp:2025-03-28 08:09:24:832
ID:9936 SKID:BK1+144  timeStamp:2025-03-28 08:09:24:995
ID:9936 SKID:BK1+145.5  timeStamp:2025-03-28 08:09:25:150
ID:9936 SKID:BK1+146.5  timeStamp:2025-03-28 08:09:25:307
ID:9936 SKID:BK1+148  timeStamp:2025-03-28 08:09:25:468
ID:9936 SKID:BK1+149.5  timeStamp:2025-03-28 08:09:25:626
ID:9936 SKID:BK1+150.5  timeStamp:2025-03-28 08:09:25:779
ID:9936 SKID:BK1+152  timeStamp:2025-03-28 08:09:25:935
ID:9936 SKID:BK1+153  timeStamp:2025-03-28 08:09:26:93
ID:9936 SKID:BK1+154.5  timeStamp:2025-03-28 08:09:26:252
ID:9936 SKID:BK1+155.5  timeStamp:2025-03-28 08:09:26:407
ID:9936 SKID:BK1+157  timeStamp:2025-03-28 08:09:26:570
ID:9936 SKID:BK1+158  timeStamp:2025-03-28 08:09:26:735
ID:9936 SKID:BK1+159  timeStamp:2025-03-28 08:09:26:900
ID:9936 SKID:BK1+161  timeStamp:2025-03-28 08:09:27:60
ID:9936 SKID:BK1+161.5  timeStamp:2025-03-28 08:09:27:239
ID:9936 SKID:BK1+163  timeStamp:2025-03-28 08:09:27:416
ID:9936 SKID:BK1+164  timeStamp:2025-03-28 08:09:27:599
ID:9936 SKID:BK1+164  timeStamp:2025-03-28 08:09:27:783
ID:9936 SKID:BK1+164  timeStamp:2025-03-28 08:09:27:961
ID:9936 SKID:BK1+164  timeStamp:2025-03-28 08:09:28:145
ID:9936 SKID:BK1+164  timeStamp:2025-03-28 08:09:28:353
ID:9936 SKID:BK1+164  timeStamp:2025-03-28 08:09:28:556
