ID:9961 SKID:AK0+730.5  timeStamp:2025-03-28 08:09:22:273
ID:9961 SKID:AK0+732  timeStamp:2025-03-28 08:09:22:434
ID:9961 SKID:AK0+734  timeStamp:2025-03-28 08:09:22:588
ID:9961 SKID:AK0+735.5  timeStamp:2025-03-28 08:09:22:990
ID:9961 SKID:AK0+737  timeStamp:2025-03-28 08:09:23:238
ID:9961 SKID:AK0+739  timeStamp:2025-03-28 08:09:23:398
ID:9961 SKID:AK0+740.5  timeStamp:2025-03-28 08:09:23:556
ID:9961 SKID:AK0+742  timeStamp:2025-03-28 08:09:23:716
ID:9961 SKID:AK0+743  timeStamp:2025-03-28 08:09:23:875
ID:9961 SKID:AK0+745  timeStamp:2025-03-28 08:09:24:39
ID:9961 SKID:AK0+747  timeStamp:2025-03-28 08:09:24:197
ID:9961 SKID:AK0+748  timeStamp:2025-03-28 08:09:24:352
ID:9961 SKID:AK0+750  timeStamp:2025-03-28 08:09:24:509
ID:9961 SKID:AK0+751.5  timeStamp:2025-03-28 08:09:24:677
ID:9961 SKID:AK0+753.5  timeStamp:2025-03-28 08:09:24:832
ID:9961 SKID:AK0+755  timeStamp:2025-03-28 08:09:24:995
ID:9961 SKID:AK0+756.5  timeStamp:2025-03-28 08:09:25:150
ID:9961 SKID:AK0+758  timeStamp:2025-03-28 08:09:25:307
ID:9961 SKID:AK0+760  timeStamp:2025-03-28 08:09:25:468
ID:9961 SKID:AK0+761.5  timeStamp:2025-03-28 08:09:25:626
ID:9961 SKID:AK0+763  timeStamp:2025-03-28 08:09:25:779
ID:9961 SKID:AK0+765  timeStamp:2025-03-28 08:09:25:935
ID:9961 SKID:AK0+766.5  timeStamp:2025-03-28 08:09:26:93
ID:9961 SKID:AK0+768  timeStamp:2025-03-28 08:09:26:252
ID:9961 SKID:AK0+769.5  timeStamp:2025-03-28 08:09:26:407
ID:9961 SKID:AK0+771  timeStamp:2025-03-28 08:09:26:570
ID:9961 SKID:AK0+773  timeStamp:2025-03-28 08:09:26:735
ID:9961 SKID:AK0+774.5  timeStamp:2025-03-28 08:09:26:900
ID:9961 SKID:AK0+776  timeStamp:2025-03-28 08:09:27:60
ID:9961 SKID:AK0+778  timeStamp:2025-03-28 08:09:27:239
ID:9961 SKID:AK0+779.5  timeStamp:2025-03-28 08:09:27:416
ID:9961 SKID:AK0+781  timeStamp:2025-03-28 08:09:27:599
ID:9961 SKID:AK0+783  timeStamp:2025-03-28 08:09:27:783
ID:9961 SKID:AK0+784.5  timeStamp:2025-03-28 08:09:27:961
ID:9961 SKID:AK0+786  timeStamp:2025-03-28 08:09:28:145
ID:9961 SKID:AK0+787.5  timeStamp:2025-03-28 08:09:28:353
ID:9961 SKID:AK0+789  timeStamp:2025-03-28 08:09:28:556
ID:9961 SKID:AK0+791  timeStamp:2025-03-28 08:09:28:739
ID:9961 SKID:AK0+792.5  timeStamp:2025-03-28 08:09:28:918
ID:9961 SKID:AK0+794  timeStamp:2025-03-28 08:09:29:96
ID:9961 SKID:AK0+795.5  timeStamp:2025-03-28 08:09:29:270
ID:9961 SKID:AK0+797  timeStamp:2025-03-28 08:09:29:444
ID:9961 SKID:AK0+798.5  timeStamp:2025-03-28 08:09:29:617
ID:9961 SKID:AK0+800  timeStamp:2025-03-28 08:09:29:792
ID:9961 SKID:AK0+802  timeStamp:2025-03-28 08:09:29:974
ID:9961 SKID:AK0+804  timeStamp:2025-03-28 08:09:30:176
ID:9961 SKID:AK0+805.5  timeStamp:2025-03-28 08:09:30:354
ID:9961 SKID:AK0+807  timeStamp:2025-03-28 08:09:30:788
ID:9961 SKID:AK0+808.5  timeStamp:2025-03-28 08:09:31:39
ID:9961 SKID:AK0+810  timeStamp:2025-03-28 08:09:31:218
ID:9961 SKID:AK0+811.5  timeStamp:2025-03-28 08:09:31:402
ID:9961 SKID:AK0+814  timeStamp:2025-03-28 08:09:31:577
ID:9961 SKID:AK0+815.5  timeStamp:2025-03-28 08:09:31:759
